Reporting period,ORGANIZATION,DONOR,CLUSTER,ACTIVITY DESCRIPTION,IMPLEMENTING PARTNER,REGION,DISTRICT                           ,SPECIFIC LOCATION ,RURAL/URBAN         ,STATUS             ,DURATION,START DATE (DD/MM/YY),END DATE (DD/MM/YY),Y_COORD,X_COORD
Quarter III,FAO,OSRO/SOM/809/USA,Food Security,Distribution of cash,DEH,Mudug,Gaalkacyo,Jilable,Rural,Completed,13,14/07/2018,14/11/2019,,
Quarter III,FAO,OSRO/SOM/809/USA,Food Security,Distribution of cash,ASAAS,Nugaal,Eyl,Biyocado,Rural,Completed,13,14/07/2018,14/11/2019,,
Quarter III,FAO,OSRO/SOM/809/USA,Food Security,Distribution of cash,ASAAS,Nugaal,Eyl,Ceelmadobe,Rural,Completed,13,14/07/2018,14/11/2019,,
Quarter III,FAO,OSRO/SOM/809/USA,Food Security,Distribution of cash,ASAAS,Nugaal,Eyl,Dhiganle,Rural,Completed,13,14/07/2018,14/11/2019,,
Quarter III,FAO,OSRO/SOM/809/USA,Food Security,Distribution of cash,ASAAS,Nugaal,Eyl,Dilin Mahato,Rural,Completed,13,14/07/2018,14/11/2019,,
Quarter III,FAO,OSRO/SOM/809/USA,Food Security,Distribution of cash,ASAAS,Nugaal,Eyl,Hasbahalle,Rural,Completed,13,14/07/2018,14/11/2019,,
Quarter III,FAO,OSRO/SOM/809/USA,Food Security,Distribution of cash,ASAAS,Nugaal,Eyl,Qarxis,Rural,Completed,13,14/07/2018,14/11/2019,,
Quarter III,FAO,OSRO/SOM/809/USA,Food Security,Distribution of cash,ADA,Bari,Bandarbeyla,Ceel Dhidar,Rural,Completed,13,14/07/2018,14/11/2019,,
Quarter III,FAO,OSRO/SOM/809/USA,Food Security,Distribution of cash,ADA,Bari,Bandarbeyla,Dhariimo-Bayla,Rural,Completed,13,14/07/2018,14/11/2019,,
Quarter III,FAO,OSRO/SOM/809/USA,Food Security,Distribution of cash,ADA,Bari,Bandarbeyla,Dhuudo,Rural,Completed,13,14/07/2018,14/11/2019,,
Quarter III,FAO,OSRO/SOM/809/USA,Food Security,Distribution of cash,ADA,Bari,Bandarbeyla,Dhuur,Rural,Completed,13,14/07/2018,14/11/2019,,
Quarter III,FAO,OSRO/SOM/809/USA,Food Security,Distribution of cash,ADA,Bari,Bandarbeyla,Sarmaan-Bayla,Rural,Completed,13,14/07/2018,14/11/2019,,
Quarter III,FAO,OSRO/SOM/809/USA,Food Security,Distribution of cash,ARIN,Nugaal,Burtinle,Balidacar,Rural,Completed,13,14/07/2018,14/11/2019,,
Quarter III,FAO,OSRO/SOM/809/USA,Food Security,Distribution of cash,ARIN,Nugaal,Burtinle,Burtinle,Rural,Completed,13,14/07/2018,14/11/2019,,
Quarter III,FAO,OSRO/SOM/809/USA,Food Security,Distribution of cash,ARIN,Nugaal,Burtinle,Gamabari,Rural,Completed,13,14/07/2018,14/11/2019,,
Quarter III,FAO,OSRO/SOM/809/USA,Food Security,Distribution of cash,ARIN,Nugaal,Burtinle,Jalam,Rural,Completed,13,14/07/2018,14/11/2019,,
Quarter III,FAO,OSRO/SOM/809/USA,Food Security,Distribution of cash,ARIN,Nugaal,Burtinle,Meeraysane,Rural,Completed,13,14/07/2018,14/11/2019,,
Quarter III,FAO,OSRO/SOM/809/USA,Food Security,Distribution of cash,SVO,Sool,Laas Caanood,Afgoye,Rural,Completed,13,14/07/2018,14/11/2019,,
Quarter III,FAO,OSRO/SOM/809/USA,Food Security,Distribution of cash,SVO,Sool,Laas Caanood,Gambade,Rural,Completed,13,14/07/2018,14/11/2019,,
Quarter III,FAO,OSRO/SOM/809/USA,Food Security,Distribution of cash,SVO,Sool,Laas Caanood,Higlo-Fiqi,Rural,Completed,13,14/07/2018,14/11/2019,,
Quarter III,FAO,OSRO/SOM/809/USA,Food Security,Distribution of cash,SVO,Sool,Laas Caanood,Kal-Libax,Rural,Completed,13,14/07/2018,14/11/2019,,
Quarter III,FAO,OSRO/SOM/809/USA,Food Security,Distribution of cash,SVO,Sool,Laas Caanood,Qabri-Bayax,Rural,Completed,13,14/07/2018,14/11/2019,,
Quarter III,FAO,OSRO/SOM/809/USA,Food Security,Distribution of cash,SVO,Sool,Laas Caanood,Tuulo Samakaab,Rural,Completed,13,14/07/2018,14/11/2019,,
Quarter III,FAO,OSRO/SOM/809/USA,Food Security,Distribution of cash,SVO,Sool,Laas Caanood,Yagori,Rural,Completed,13,14/07/2018,14/11/2019,,
Quarter III,FAO,OSRO/SOM/809/USA,Food Security,Distribution of cash,VRD,Hiraan,Jalalaqsi,Awbakar Shigow,Rural,Completed,13,14/07/2018,14/11/2019,,
Quarter III,FAO,OSRO/SOM/809/USA,Food Security,Distribution of cash,VRD,Hiraan,Jalalaqsi,Cariishley,Rural,Completed,13,14/07/2018,14/11/2019,,
Quarter III,FAO,OSRO/SOM/809/USA,Food Security,Distribution of cash,VRD,Hiraan,Jalalaqsi,Daba Yare,Rural,Completed,13,14/07/2018,14/11/2019,,
Quarter III,FAO,OSRO/SOM/809/USA,Food Security,Distribution of cash,VRD,Hiraan,Jalalaqsi,Odaale,Rural,Completed,13,14/07/2018,14/11/2019,,
Quarter III,FAO,OSRO/SOM/809/USA,Food Security,Distribution of cash,VRD,Hiraan,Jalalaqsi,Ombada,Rural,Completed,13,14/07/2018,14/11/2019,,
Quarter III,FAO,OSRO/SOM/809/USA,Food Security,Distribution of cash,VRD,Hiraan,Jalalaqsi,Yoomow,Rural,Completed,13,14/07/2018,14/11/2019,,
Quarter III,FAO,OSRO/SOM/809/USA,Food Security,Distribution of cash,UVRDO,Sanaag,Ceel Afweyn,Dararwayne,Rural,Completed,13,14/07/2018,14/11/2019,,
Quarter III,FAO,OSRO/SOM/809/USA,Food Security,Distribution of cash,UVRDO,Sanaag,Ceel Afweyn,Dhabar Mamac,Rural,Completed,13,14/07/2018,14/11/2019,,
Quarter III,FAO,OSRO/SOM/809/USA,Food Security,Distribution of cash,UVRDO,Sanaag,Ceel Afweyn,Dhoomo,Rural,Completed,13,14/07/2018,14/11/2019,,
Quarter III,FAO,OSRO/SOM/809/USA,Food Security,Distribution of cash,UVRDO,Sanaag,Ceel Afweyn,Faro guul,Rural,Completed,13,14/07/2018,14/11/2019,,
Quarter III,FAO,OSRO/SOM/809/USA,Food Security,Distribution of cash,UVRDO,Sanaag,Ceel Afweyn,Gal ciidle,Rural,Completed,13,14/07/2018,14/11/2019,,
Quarter III,FAO,OSRO/SOM/809/USA,Food Security,Distribution of cash,UVRDO,Sanaag,Ceel Afweyn,Garadag,Rural,Completed,13,14/07/2018,14/11/2019,,
Quarter III,FAO,OSRO/SOM/809/USA,Food Security,Distribution of cash,UVRDO,Sanaag,Ceel Afweyn,Gawsa wayne,Rural,Completed,13,14/07/2018,14/11/2019,,
Quarter III,FAO,OSRO/SOM/809/USA,Food Security,Distribution of cash,UVRDO,Sanaag,Ceel Afweyn,Huluul,Rural,Completed,13,14/07/2018,14/11/2019,,
Quarter III,FAO,OSRO/SOM/809/USA,Food Security,Distribution of cash,UVRDO,Sanaag,Ceel Afweyn,Sincarro,Rural,Completed,13,14/07/2018,14/11/2019,,
Quarter III,FAO,OSRO/SOM/809/USA,Food Security,Distribution of cash,GARDO,Nugaal,Eyl,Bedey,Rural,Completed,13,14/07/2018,14/11/2019,,
Quarter III,FAO,OSRO/SOM/809/USA,Food Security,Distribution of cash,GARDO,Nugaal,Eyl,Canbare,Rural,Completed,13,14/07/2018,14/11/2019,,
Quarter III,FAO,OSRO/SOM/809/USA,Food Security,Distribution of cash,GARDO,Nugaal,Eyl,Daawad,Rural,Completed,13,14/07/2018,14/11/2019,,
Quarter III,FAO,OSRO/SOM/809/USA,Food Security,Distribution of cash,GARDO,Nugaal,Eyl,Kabaal,Rural,Completed,13,14/07/2018,14/11/2019,,
Quarter III,FAO,OSRO/SOM/809/USA,Food Security,Distribution of cash,GARDO,Nugaal,Eyl,Maraya,Rural,Completed,13,14/07/2018,14/11/2019,,
Quarter III,FAO,OSRO/SOM/809/USA,Food Security,Distribution of cash,FDO,Sanaag,Laasqoray,Caraweyn,Rural,Completed,13,14/07/2018,14/11/2019,,
Quarter III,FAO,OSRO/SOM/809/USA,Food Security,Distribution of cash,FDO,Sanaag,Laasqoray,Dhanaha,Rural,Completed,13,14/07/2018,14/11/2019,,
Quarter III,FAO,OSRO/SOM/809/USA,Food Security,Distribution of cash,FDO,Sanaag,Laasqoray,Gumar,Rural,Completed,13,14/07/2018,14/11/2019,,
Quarter III,FAO,OSRO/SOM/809/USA,Food Security,Distribution of cash,FDO,Sanaag,Laasqoray,Haylaan,Rural,Completed,13,14/07/2018,14/11/2019,,
Quarter III,FAO,OSRO/SOM/809/USA,Food Security,Distribution of cash,FDO,Sanaag,Laasqoray,Raad,Rural,Completed,13,14/07/2018,14/11/2019,,
Quarter III,FAO,OSRO/SOM/809/USA,Food Security,Distribution of cash,FDO,Sanaag,Laasqoray,Xubeera,Rural,Completed,13,14/07/2018,14/11/2019,,
Quarter III,FAO,OSRO/SOM/809/USA,Food Security,Distribution of cash,UVRDO,Sanaag,Ceerigaabo,Ceel dhuruc,Rural,Completed,13,14/07/2018,14/11/2019,,
Quarter III,FAO,OSRO/SOM/809/USA,Food Security,Distribution of cash,UVRDO,Sanaag,Ceerigaabo,Daryele,Rural,Completed,13,14/07/2018,14/11/2019,,
Quarter III,FAO,OSRO/SOM/809/USA,Food Security,Distribution of cash,UVRDO,Sanaag,Ceerigaabo,Durdur,Rural,Completed,13,14/07/2018,14/11/2019,,
Quarter III,FAO,OSRO/SOM/809/USA,Food Security,Distribution of cash,UVRDO,Sanaag,Ceerigaabo,God canood,Rural,Completed,13,14/07/2018,14/11/2019,,
Quarter III,FAO,OSRO/SOM/809/USA,Food Security,Distribution of cash,UVRDO,Sanaag,Ceerigaabo,Goof,Rural,Completed,13,14/07/2018,14/11/2019,,
Quarter III,FAO,OSRO/SOM/809/USA,Food Security,Distribution of cash,UVRDO,Sanaag,Ceerigaabo,Gudmo biyo cas,Rural,Completed,13,14/07/2018,14/11/2019,,
Quarter III,FAO,OSRO/SOM/809/USA,Food Security,Distribution of cash,UVRDO,Sanaag,Ceerigaabo,Hurgufato,Rural,Completed,13,14/07/2018,14/11/2019,,
Quarter III,FAO,OSRO/SOM/809/USA,Food Security,Distribution of cash,UVRDO,Sanaag,Ceerigaabo,Laas qacable,Rural,Completed,13,14/07/2018,14/11/2019,,
Quarter III,FAO,OSRO/SOM/809/USA,Food Security,Distribution of cash,AAI,Awdal,Lughaye,Farda Lagu,Rural,Completed,13,14/07/2018,14/11/2019,,
Quarter III,FAO,OSRO/SOM/809/USA,Food Security,Distribution of cash,AAI,Awdal,Lughaye,Garaaca,Rural,Completed,13,14/07/2018,14/11/2019,,
Quarter III,FAO,OSRO/SOM/809/USA,Food Security,Distribution of cash,AAI,Awdal,Lughaye,Geerisa,Rural,Completed,13,14/07/2018,14/11/2019,,
Quarter III,FAO,OSRO/SOM/809/USA,Food Security,Distribution of cash,AAI,Awdal,Lughaye,Ido Cadays,Rural,Completed,13,14/07/2018,14/11/2019,,
Quarter III,FAO,OSRO/SOM/809/USA,Food Security,Distribution of cash,AAI,Awdal,Lughaye,Kalawle,Rural,Completed,13,14/07/2018,14/11/2019,,
Quarter III,FAO,OSRO/SOM/809/USA,Food Security,Distribution of cash,AAI,Awdal,Lughaye,Karuure,Rural,Completed,13,14/07/2018,14/11/2019,,
Quarter III,FAO,OSRO/SOM/809/USA,Food Security,Distribution of cash,AAI,Awdal,Lughaye,Laan Cawaale,Rural,Completed,13,14/07/2018,14/11/2019,,
Quarter III,FAO,OSRO/SOM/809/USA,Food Security,Distribution of cash,AAI,Awdal,Lughaye,Magaadoole,Rural,Completed,13,14/07/2018,14/11/2019,,
Quarter III,FAO,OSRO/SOM/809/USA,Food Security,Distribution of cash,AAI,Awdal,Lughaye,Xajiinle,Rural,Completed,13,14/07/2018,14/11/2019,,
Quarter III,FAO,OSRO/SOM/809/USA,Food Security,Distribution of cash,AAI,Awdal,Lughaye,Xoog Faras,Rural,Completed,13,14/07/2018,14/11/2019,,
Quarter III,FAO,OSRO/SOM/809/USA,Food Security,Distribution of cash,AAI,Awdal,Zeylac,Caasha Caddo,Rural,Completed,13,14/07/2018,14/11/2019,,
Quarter III,FAO,OSRO/SOM/809/USA,Food Security,Distribution of cash,AAI,Awdal,Zeylac,Feedha Weyn,Rural,Completed,13,14/07/2018,14/11/2019,,
Quarter III,FAO,OSRO/SOM/809/USA,Food Security,Distribution of cash,AAI,Awdal,Zeylac,Geed Haad,Rural,Completed,13,14/07/2018,14/11/2019,,
Quarter III,FAO,OSRO/SOM/809/USA,Food Security,Distribution of cash,AAI,Awdal,Zeylac,Indha Biraale,Rural,Completed,13,14/07/2018,14/11/2019,,
Quarter III,FAO,OSRO/SOM/809/USA,Food Security,Distribution of cash,AAI,Awdal,Zeylac,Jidhi,Rural,Completed,13,14/07/2018,14/11/2019,,
Quarter III,FAO,OSRO/SOM/809/USA,Food Security,Distribution of cash,AAI,Awdal,Zeylac,Laanta Moorada,Rural,Completed,13,14/07/2018,14/11/2019,,
Quarter III,FAO,OSRO/SOM/809/USA,Food Security,Distribution of cash,AAI,Awdal,Zeylac,Lawya Caddo,Rural,Completed,13,14/07/2018,14/11/2019,,
Quarter III,FAO,OSRO/SOM/809/USA,Food Security,Distribution of cash,AAI,Awdal,Zeylac,Sheikh Awaare,Rural,Completed,13,14/07/2018,14/11/2019,,
Quarter III,FAO,OSRO/SOM/809/USA,Food Security,Distribution of cash,AAI,Awdal,Zeylac,Toqoshi,Rural,Completed,13,14/07/2018,14/11/2019,,
Quarter III,FAO,OSRO/SOM/809/USA,Food Security,Distribution of cash,AAI,Awdal,Zeylac,Xirsi Bow,Rural,Completed,13,14/07/2018,14/11/2019,,
Quarter III,FAO,OSRO/SOM/809/USA,Food Security,Distribution of cash,SID,Togdheer,Owdweyne,Baarcad,Rural,Completed,13,14/07/2018,14/11/2019,,
Quarter III,FAO,OSRO/SOM/809/USA,Food Security,Distribution of cash,SID,Togdheer,Owdweyne,Bali Cawad,Rural,Completed,13,14/07/2018,14/11/2019,,
Quarter III,FAO,OSRO/SOM/809/USA,Food Security,Distribution of cash,SID,Togdheer,Owdweyne,Jeenyo Laaye,Rural,Completed,13,14/07/2018,14/11/2019,,
Quarter III,FAO,OSRO/SOM/809/USA,Food Security,Distribution of cash,SID,Togdheer,Owdweyne,Raydab Khaatumo,Rural,Completed,13,14/07/2018,14/11/2019,,
Quarter III,FAO,OSRO/SOM/809/USA,Food Security,Distribution of cash,SID,Togdheer,Owdweyne,Xaaji Saalax,Rural,Completed,13,14/07/2018,14/11/2019,,
Quarter III,FAO,OSRO/SOM/809/USA,Food Security,Distribution of cash,SID,Togdheer,Owdweyne,Xayndaanle,Rural,Completed,13,14/07/2018,14/11/2019,,
Quarter III,VSF-G,SHF-UNOCHA,Food Security,Cash Tranfer,,Awdal,Lughaye,Warabodarary,Rural,Completed,6,04/04/2019,31/10/2019,,
Quarter III,VSF-G,SHF-UNOCHA,Food Security,Cash Tranfer,,Awdal,Baki,Kalabaydh,Rural,Completed,6,04/04/2019,31/10/2019,,
Quarter III,VSF-G,SHF-UNOCHA,Food Security,Cash Tranfer,,Awdal,Baki,Ruqi,Rural,Completed,6,04/04/2019,31/10/2019,,
Quarter III,VSF-G,SHF-UNOCHA,Food Security,Cash Tranfer,,Awdal,Baki,ALI Xaydh,Rural,Completed,6,04/04/2019,31/10/2019,,
Quarter III,VSF-G,SHF-UNOCHA,Food Security,Animal health treatment,,Awdal,Lughaye,Gargaara,Rural,Completed,8,01/03/2019,31/10/2019,,
Quarter III,VSF-G,SHF-UNOCHA,Food Security,Animal health treatment,,Awdal,Lughaye,Abdigeedi,Rural,Completed,8,01/03/2019,31/10/2019,,
Quarter III,VSF-G,SHF-UNOCHA,Food Security,Animal health treatment,,Awdal,Lughaye,Garba dadar,Rural,Completed,8,01/03/2019,31/10/2019,,
Quarter III,VSF-G,SHF-UNOCHA,Food Security,Animal health treatment,,Awdal,Lughaye,Tijaabo,Rural,Completed,8,01/03/2019,31/10/2019,,
Quarter III,VSF-G,SHF-UNOCHA,Food Security,Animal health treatment,,Awdal,Lughaye,Warabodarary,Rural,Completed,8,01/03/2019,31/10/2019,,
Quarter III,VSF-G,SHF-UNOCHA,Food Security,Animal health treatment,,Awdal,Baki,Kalabaydh,Rural,Completed,8,01/03/2019,31/10/2019,,
Quarter III,VSF-G,SHF-UNOCHA,Food Security,Animal health treatment,,Awdal,Baki,Ruqi,Rural,Completed,8,01/03/2019,31/10/2019,,
Quarter III,VSF-G,SHF-UNOCHA,Food Security,Animal health treatment,,Awdal,Baki,ALI Xaydh,Rural,Completed,8,01/03/2019,31/10/2019,,
Quarter III,VSF-G,SHF-UNOCHA,Food Security,Cash Tranfer,,Awdal,Zeylac,Zeila,Rural,Completed,6,01/07/2019,31/12/2019,,
Quarter III,VSF-G,SHF-UNOCHA,Food Security,Cash Tranfer,,Awdal,Zeylac,Gargaara galbeed,Rural,Completed,6,01/07/2019,31/12/2019,,
Quarter III,ACF,SOMREP-EU,Food Security,"Train relevant government and local authority officials on CBDRM ( 5 days, 35 person)",,Bakool,Xudur,Xudur/Buulo - NB-3814-W16-002,Urban,Completed,5 days,29/09/2019,03/10/2019,,
Quarter III,ACF,SOMREP-EU,Food Security,Facilitate representatives of Gos and NGOs participate in Annual events for local gov’t facilitation of coordination on drought cycle management,,Bakool,Xudur,Xudur/Buulo - NB-3814-W16-002,Urban,Completed,2 days,03/09/2019,04/10/2019,,
Quarter III,ACF,SOMREP-EU,Food Security,CAHWs routine livestock treatment,,Bakool,Xudur,Project villages in Hudur district,Mixed,Completed,Monthly,23/09/2019,25/09/2019,,
Quarter III,ACTED,USAID-FFP,Food Security,Safety net,,Bay,Baidoa,Ismoodney,Rural,Completed,4,16/06/2019,30/01/2020,,
Quarter III,ACTED,USAID-FFP,Food Security,Safety net,,Bay,Baidoa,Aw-Dharow,Rural,Completed,4,16/06/2019,30/01/2020,,
Quarter III,ACTED,USAID-FFP,Food Security,Safety net,,Bay,Baidoa,Buula Jadiid Mogow,Rural,Completed,4,16/06/2019,30/01/2020,,
Quarter III,ACTED,USAID-FFP,Food Security,Safety net,,Bay,Baidoa,Ceelbeen,Rural,Completed,4,16/06/2019,30/01/2020,,
Quarter III,ACTED,USAID-FFP,Food Security,Safety net,,Bay,Baidoa,Bula Adan Sheikh,Rural,Completed,4,16/06/2019,30/01/2020,,
Quarter III,ACTED,USAID-FFP,Food Security,Safety net,,Bay,Baidoa,Haween,Rural,Completed,4,16/06/2019,30/01/2020,,
Quarter III,ACTED,USAID-FFP,Food Security,Safety net,,Bay,Baidoa,Bula Tuweer,Rural,Completed,4,16/06/2019,30/01/2020,,
Quarter III,ACTED,USAID-FFP,Food Security,Safety net,,Bay,Baidoa,War Alanle,Rural,Completed,4,16/06/2019,30/01/2020,,
Quarter III,WFP,Unspecified,Food Security,Food Assistance for Assets,SCAN,Woqooyi Galbeed,Hargeysa,Boodhley,Rural,Completed,,###############################################################################################################################################################################################################################################################,,,
Quarter III,WFP,Unspecified,Food Security,Food Assistance for Assets,SCAN,Woqooyi Galbeed,Hargeysa,Beeyo Liibaan,Rural,Completed,,###############################################################################################################################################################################################################################################################,,,
Quarter III,WFP,Unspecified,Food Security,Food Assistance for Assets,SPDO,Woqooyi Galbeed,Hargeysa,Liiban Sheikh,Rural,Completed,,###############################################################################################################################################################################################################################################################,,,
Quarter III,WFP,Unspecified,Food Security,Food Assistance for Assets,SPDO,Woqooyi Galbeed,Hargeysa,Qurux,Rural,Completed,,###############################################################################################################################################################################################################################################################,,,
Quarter III,WFP,Unspecified,Food Security,Food Assistance for Assets,SPDO,Woqooyi Galbeed,Hargeysa,Boola-diidaha,Rural,Completed,,###############################################################################################################################################################################################################################################################,,,
Quarter III,WFP,Unspecified,Food Security,Food Assistance for Assets,DRDO,Mudug,Galdogob,Xamurre,,Completed,,###############################################################################################################################################################################################################################################################,,,
Quarter III,WFP,Unspecified,Food Security,Food Assistance for Assets,DRDO,Mudug,Gaalkacyo,Bacaadweyn,,Completed,,###############################################################################################################################################################################################################################################################,,,
Quarter III,WFP,Unspecified,Food Security,Food Assistance for Assets,DRDO,Mudug,Gaalkacyo,Afweyn,,Completed,,###############################################################################################################################################################################################################################################################,,,
Quarter III,WFP,Unspecified,Food Security,Food Assistance for Assets,DRDO,Mudug,Gaalkacyo,Qorile,,Completed,,###############################################################################################################################################################################################################################################################,,,
Quarter III,WFP,Unspecified,Food Security,Food Assistance for Assets,DRDO,Mudug,Gaalkacyo,Tarracaso,,Completed,,###############################################################################################################################################################################################################################################################,,,
Quarter III,WFP,Unspecified,Food Security,Food Assistance for Assets,DRDO,Mudug,Jariiban,Balibusle,,Completed,,###############################################################################################################################################################################################################################################################,,,
Quarter III,WFP,Unspecified,Food Security,Food Assistance for Assets,SEDO,Sanaag,Ceerigaabo,Fiqifuliye,,Completed,,###############################################################################################################################################################################################################################################################,,,
Quarter III,WFP,Unspecified,Food Security,Food Assistance for Assets,SDC,Mudug,Gaalkacyo,Roox,,Completed,,###############################################################################################################################################################################################################################################################,,,
Quarter III,WFP,Unspecified,Food Security,Food Assistance for Assets,SDC,Mudug,Gaalkacyo,Dhagxanyacade,,Completed,,###############################################################################################################################################################################################################################################################,,,
Quarter III,WFP,Unspecified,Food Security,Food Assistance for Assets,SDC,Mudug,Gaalkacyo,Heema,,Completed,,###############################################################################################################################################################################################################################################################,,,
Quarter III,WFP,Unspecified,Food Security,Food Assistance for Assets,SDC,Mudug,Gaalkacyo,Fardacune,,Completed,,###############################################################################################################################################################################################################################################################,,,
Quarter III,WFP,Unspecified,Food Security,Food Assistance for Assets,SDC,Mudug,Galdogob,Bursaalax,,Completed,,###############################################################################################################################################################################################################################################################,,,
Quarter III,WFP,Unspecified,Food Security,Food Assistance for Assets,LWO,Galgaduud,Cabudwaaq,Herale,Rural,Completed,,###############################################################################################################################################################################################################################################################,,,
Quarter III,WFP,Unspecified,Food Security,Food Assistance for Assets,SDRO,Mudug,Gaalkacyo,Galbarwaqo,Rural,Completed,,###############################################################################################################################################################################################################################################################,,,
Quarter III,WFP,Unspecified,Food Security,Food Assistance for Assets,SDRO,Mudug,Hobyo,Docol,Rural,Completed,,###############################################################################################################################################################################################################################################################,,,
Quarter III,WFP,Unspecified,Food Security,Food Assistance for Assets,SDRO,Mudug,Hobyo,Bajela,Rural,Completed,,###############################################################################################################################################################################################################################################################,,,
Quarter III,WFP,Unspecified,Food Security,Food Assistance for Assets,SRRDO,Mudug,Gaalkacyo,Docole-farale,Rural,Completed,,###############################################################################################################################################################################################################################################################,,,
Quarter III,WFP,Unspecified,Food Security,Food Assistance for Assets,TUOS,Galgaduud,Dhuusamarreeb,Dhusamareeb,Rural,Completed,,###############################################################################################################################################################################################################################################################,,,
Quarter III,WFP,Unspecified,Food Security,Food Assistance for Assets,TUOS,Galgaduud,Dhuusamarreeb,Ceeldheere,Rural,Completed,,###############################################################################################################################################################################################################################################################,,,
Quarter III,WFP,Unspecified,Food Security,Food Assistance for Assets,TUOS,Galgaduud,Dhuusamarreeb,Xundhure,Rural,Completed,,###############################################################################################################################################################################################################################################################,,,
Quarter III,WFP,Unspecified,Food Security,Food Assistance for Assets,TUOS,Galgaduud,Dhuusamarreeb,Biyaboob,Rural,Completed,,###############################################################################################################################################################################################################################################################,,,
Quarter III,WFP,Unspecified,Food Security,Food Assistance for Assets,TUOS,Galgaduud,Dhuusamarreeb,Ramaley,Rural,Completed,,###############################################################################################################################################################################################################################################################,,,
Quarter III,WFP,Unspecified,Food Security,Food Assistance for Assets,SOHDO,Mudug,Hobyo,Wisil,Rural,Completed,,###############################################################################################################################################################################################################################################################,,,
Quarter III,WFP,Unspecified,Food Security,Food Assistance for Assets,SOHDO,Mudug,Hobyo,Gawan,Rural,Completed,,###############################################################################################################################################################################################################################################################,,,
Quarter III,WFP,Unspecified,Food Security,Food Assistance for Assets,SOHDO,Mudug,Hobyo,Wisil,Rural,Completed,,###############################################################################################################################################################################################################################################################,,,
Quarter III,WFP,Unspecified,Food Security,Food Assistance for Assets,SOHDO,Mudug,Hobyo,Qoryaweyne,Rural,Completed,,###############################################################################################################################################################################################################################################################,,,
Quarter III,WFP,Unspecified,Food Security,Food Assistance for Assets,RDC,Galgaduud,Cabudwaaq,Ceelsolar,Rural,Completed,,###############################################################################################################################################################################################################################################################,,,
Quarter III,WFP,Unspecified,Food Security,Food Assistance for Assets,ARS,Galgaduud,Cadaado,Biyogadud,Rural,Completed,,###############################################################################################################################################################################################################################################################,,,
Quarter III,WFP,Unspecified,Food Security,Food Assistance for Assets,ARS,Galgaduud,Cadaado,God-dhurwa,Rural,Completed,,###############################################################################################################################################################################################################################################################,,,
Quarter III,WFP,Unspecified,Food Security,Food Assistance for Assets,ARS,Galgaduud,Cadaado,Magool,Rural,Completed,,###############################################################################################################################################################################################################################################################,,,
Quarter III,WFP,Unspecified,Food Security,Food Assistance for Assets,BRADO,Galgaduud,Dhuusamarreeb,Xawadle,Rural,Completed,,###############################################################################################################################################################################################################################################################,,,
Quarter III,WFP,Unspecified,Food Security,Food Assistance for Assets,BRADO,Galgaduud,Dhuusamarreeb,Gabuun,Rural,Completed,,###############################################################################################################################################################################################################################################################,,,
Quarter III,WFP,Unspecified,Food Security,Food Assistance for Assets,BRADO,Galgaduud,Dhuusamarreeb,Shalaqben,Rural,Completed,,###############################################################################################################################################################################################################################################################,,,
Quarter III,WFP,Unspecified,Food Security,Food Assistance for Assets,BRADO,Galgaduud,Dhuusamarreeb,Bocle,Rural,Completed,,###############################################################################################################################################################################################################################################################,,,
Quarter III,WFP,Unspecified,Food Security,Food Assistance for Assets,BRADO,Galgaduud,Dhuusamarreeb,Baladul amin,Rural,Completed,,###############################################################################################################################################################################################################################################################,,,
Quarter III,WFP,Unspecified,Food Security,Food Assistance for Assets,HOD,Galgaduud,Cabudwaaq,Dhabad,Rural,Completed,,###############################################################################################################################################################################################################################################################,,,
Quarter III,WFP,Unspecified,Food Security,Food Assistance for Assets,HOD,Galgaduud,Cabudwaaq,Bangele,Rural,Completed,,###############################################################################################################################################################################################################################################################,,,
Quarter III,WFP,Unspecified,Food Security,Food Assistance for Assets,HOD,Galgaduud,Cabudwaaq,Galmaygag,Rural,Completed,,###############################################################################################################################################################################################################################################################,,,
Quarter III,WFP,Unspecified,Food Security,Food Assistance for Assets,KAAH,Hiraan,Belet Weyne,Lebibal,Rural,Completed,,###############################################################################################################################################################################################################################################################,,,
Quarter III,WFP,Unspecified,Food Security,Food Assistance for Assets,KAAH,Hiraan,Belet Weyne,Celmi Jowle,Rural,Completed,,###############################################################################################################################################################################################################################################################,,,
Quarter III,WFP,Unspecified,Food Security,Food Assistance for Assets,IVDO,Middle Shabelle,Balcad,Jikoley,Rural,Completed,,###############################################################################################################################################################################################################################################################,,,
Quarter III,WFP,Unspecified,Food Security,General Food Distribution,AAP,Bari,Caluula,Caluula,,Completed,,###############################################################################################################################################################################################################################################################,,,
Quarter III,WFP,Unspecified,Food Security,General Food Distribution,AAP,Bari,Caluula,Geesaley,,Completed,,###############################################################################################################################################################################################################################################################,,,
Quarter III,WFP,Unspecified,Food Security,General Food Distribution,AAP,Bari,Caluula,Murcanyo,,Completed,,###############################################################################################################################################################################################################################################################,,,
Quarter III,WFP,Unspecified,Food Security,General Food Distribution,AAP,Bari,Caluula,Hoodaa,,Completed,,###############################################################################################################################################################################################################################################################,,,
Quarter III,WFP,Unspecified,Food Security,General Food Distribution,AAP,Bari,Caluula,Dibir,,Completed,,###############################################################################################################################################################################################################################################################,,,
